Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID,Allowed days
1,Catcher in the Rye,2023-02-20,2023-02-25,2 weeks,1,14
6,Little Women,2023-04-02,2023-05-01,2 weeks,1,14
9,Catch 22,2023-04-15,2023-04-16,2 weeks,7,14
10,Animal Farm,2023-04-20,2023-04-24,2 weeks,2,14
11,1984,2023-04-23,2023-04-27,2 weeks,8,14
12,Little Women,2023-04-02,2023-05-01,2 weeks,1,14
13,East of Eden,2023-04-30,2023-05-05,2 weeks,2,14
14,America Is in the Heart,2023-05-01,2023-05-07,2 weeks,3,14
15,Wuthering Heights,2023-05-01,2023-05-10,2 weeks,9,14
16,Dark Tales,2023-05-15,2023-06-01,2 weeks,2,14
18,Les Miserables,2023-06-03,2023-06-07,2 weeks,5,14
20,Frankenstein,2023-06-01,2023-06-20,2 weeks,2,14
